project_code,project_name,project_type,sector,state_name,district_name,latitude,longitude,total_acreage_ha,num_land_parcels,affected_families,project_cost_cr,private_to_govt_ratio,sc_st_land_percentage,multi_crop_irrigated_percentage,required_consent_percentage,non_owner_to_owner_paf_ratio,circle_rate_disparity_ratio,rr_cost_share_percentage,rural_multiplier_factor,district_litigation_rate,revenue_staff_vacancy_rate,avg_s15_resolution_days,days_since_s11,s11_notification_date,primary_delay_cause,delay_probability,delay_target
PRJ-ENE-THA-2026-0001,Thane Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,Maharashtra,Thane,19.2362,72.9204,1298.9,3255,8671,7912.8,4.38,11.3,18.8,70,0.27,2.74,16.7,1.0,17.1,19.3,81.1,275,2025-12-19,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8432,1
PRJ-TRA-NAG-2026-0002,Nagpur National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Maharashtra,Nagpur,21.1753,79.0786,333.3,465,982,2403.4,3.03,8.3,21.3,70,0.62,1.86,8.2,1.25,11.8,8.1,58.0,49,2026-08-02,Cadastral Boundary Verification & Normal Progress,0.035,0
PRJ-URB-NAS-2026-0003,Nashik Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Maharashtra,Nashik,19.9797,73.7532,575.8,944,1197,4581.0,2.89,12.8,18.2,80,0.36,2.51,15.0,1.25,14.5,9.2,70.4,40,2026-08-11,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.5395,1
PRJ-TRA-JHA-2026-0004,Jharsuguda National Highway Expressway Corridor (Package 3),National Highway Expressway Corridor,Transport,Odisha,Jharsuguda,21.9131,84.0277,725.0,998,1758,4173.2,2.66,36.5,8.6,70,0.46,1.72,27.2,2.0,11.4,41.2,80.5,32,2026-08-19,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0759,0
PRJ-URB-BEN-2026-0005,Bengaluru Urban Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Karnataka,Bengaluru Urban,12.8957,77.5319,962.2,789,1437,4282.8,5.88,3.7,15.0,70,0.42,3.6,10.8,1.25,22.7,41.2,110.0,218,2026-02-14,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.9609,1
PRJ-TRA-SON-2026-0006,Sonbhadra National Highway Expressway Corridor (Package 1),National Highway Expressway Corridor,Transport,Uttar Pradesh,Sonbhadra,24.7336,83.0149,142.9,272,497,793.3,1.99,37.4,13.4,70,0.26,1.81,18.0,1.75,6.5,48.7,75.8,330,2025-10-25,Section 19(2) 12-Month Statutory Deadline Proximity,0.8904,1
PRJ-URB-BHA-2026-0007,Bharuch Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Gujarat,Bharuch,21.776,72.9676,2001.2,3451,9714,15762.5,3.44,8.4,24.7,80,0.65,2.22,15.3,1.25,14.0,24.6,80.1,136,2026-05-07,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.745,1
PRJ-ENE-KUT-2026-0008,Kutch Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Gujarat,Kutch,23.2695,69.7088,1645.1,3348,6452,13704.8,0.84,25.9,2.3,0,0.79,1.1,21.0,1.75,4.6,11.8,60.0,139,2026-05-04,Cadastral Boundary Verification & Normal Progress,0.0192,0
PRJ-TRA-HOO-2026-0009,Hooghly Dedicated Freight Railway Corridor (Package 3),Dedicated Freight Railway Corridor,Transport,West Bengal,Hooghly,22.9699,88.3253,523.3,1526,2953,3293.6,4.3,4.0,65.2,70,0.37,2.05,11.5,1.5,8.9,35.3,76.1,71,2026-07-11,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.2774,0
PRJ-URB-SON-2026-0010,Sonbhadra Industrial Mega Smart City Hub (Package 3),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Sonbhadra,24.7212,83.1285,981.0,898,2738,7616.5,2.51,31.1,7.1,80,0.59,1.99,14.0,2.0,7.9,9.4,49.2,124,2026-05-19,Cadastral Boundary Verification & Normal Progress,0.1502,0
PRJ-URB-MYS-2026-0011,Mysuru Industrial Mega Smart City Hub (Package 1),Industrial Mega Smart City Hub,Urban Development,Karnataka,Mysuru,12.321,76.6503,1991.1,4344,10790,5982.9,2.74,16.5,24.4,80,0.39,2.17,17.3,1.25,8.1,20.3,74.4,312,2025-11-12,Section 19(2) 12-Month Statutory Deadline Proximity,0.9294,1
PRJ-ENE-PUN-2026-0012,Pune Ultra Mega Solar Renewable Energy Park (Package 3),Ultra Mega Solar Renewable Energy Park,Energy,Maharashtra,Pune,18.4853,73.7806,624.8,873,1510,2476.7,4.16,7.4,21.4,0,0.5,2.7,14.1,1.25,19.4,32.1,81.9,377,2025-09-08,Section 19(2) 12-Month Statutory Deadline Proximity,0.9956,1
PRJ-ENE-BEN-2026-0013,Bengaluru Urban Ultra Mega Solar Renewable Energy Park (Package 4),Ultra Mega Solar Renewable Energy Park,Energy,Karnataka,Bengaluru Urban,12.9828,77.5301,1949.1,2020,6223,16028.6,5.56,5.9,9.6,0,0.2,3.34,6.4,1.25,21.1,13.0,90.9,218,2026-02-14,High Court Section 64 Valuation Stay (Circle Rate Disparity),0.8652,1
PRJ-ENE-BEN-2026-0014,Bengaluru Urban Ultra Mega Solar Renewable Energy Park (Package 2),Ultra Mega Solar Renewable Energy Park,Energy,Karnataka,Bengaluru Urban,12.9734,77.5948,1876.0,4842,7166,10524.3,5.38,6.2,15.4,70,0.54,3.5,7.1,1.0,20.1,43.0,105.4,420,2025-07-27,Section 19(2) 12-Month Statutory Deadline Proximity,0.999,1
PRJ-TRA-JHA-2026-0015,Jharsuguda Dedicated Freight Railway Corridor (Package 3),Dedicated Freight Railway Corridor,Transport,Odisha,Jharsuguda,21.7953,84.0116,1168.0,2259,5882,8496.9,2.88,34.9,10.8,70,0.26,1.72,22.4,2.0,14.1,18.5,65.7,195,2026-03-09,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1519,0
PRJ-TRA-GAD-2026-0016,Gadchiroli Dedicated Freight Railway Corridor (Package 2),Dedicated Freight Railway Corridor,Transport,Maharashtra,Gadchiroli,20.105,80.074,1135.5,1260,3081,3420.2,2.22,45.4,18.7,70,0.46,1.87,11.9,1.75,6.9,42.4,72.7,82,2026-06-30,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1183,0
PRJ-URB-SON-2026-0017,Sonbhadra Industrial Mega Smart City Hub (Package 2),Industrial Mega Smart City Hub,Urban Development,Uttar Pradesh,Sonbhadra,24.6073,83.0036,1896.6,3835,7738,6713.5,1.77,43.1,8.0,70,0.12,1.48,26.6,2.0,11.7,24.7,84.1,168,2026-04-05,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.1006,0
PRJ-ENE-VAR-2026-0018,Varanasi Ultra Mega Solar Renewable Energy Park (Package 1),Ultra Mega Solar Renewable Energy Park,Energy,Uttar Pradesh,Varanasi,25.2975,82.994,510.4,555,1615,3430.9,3.14,11.8,37.8,70,0.17,2.02,12.7,1.5,11.5,23.7,79.5,86,2026-06-26,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.0903,0
PRJ-WAT-HOO-2026-0019,Hooghly Multi-Purpose Irrigation Dam & Canal (Package 1),Multi-Purpose Irrigation Dam & Canal,Water Resources,West Bengal,Hooghly,22.9738,88.4482,844.1,2750,6922,2935.4,2.9,8.3,66.1,0,0.37,1.95,17.3,1.75,15.2,26.5,76.5,190,2026-03-14,Survey Staff Vacancy & Section 15 Objection Disposal Latency,0.3124,0
PRJ-TRA-GAD-2026-0020,Gadchiroli National Highway Expressway Corridor (Package 2),National Highway Expressway Corridor,Transport,Maharashtra,Gadchiroli,20.2185,80.0486,262.9,218,305,686.0,2.34,45.5,7.0,80,0.26,1.75,19.1,1.75,8.2,10.6,59.8,386,2025-08-30,Section 19(2) 12-Month Statutory Deadline Proximity,0.9291,1
